t,Subj_0,Subj_1,Subj_2,Subj_3,Subj_4,Subj_5,Subj_6,Subj_7,Subj_8,Subj_9,Subj_10,Subj_11,Subj_12,Subj_13,Subj_14,Subj_15,Subj_16,Subj_17,Subj_18,Subj_19,Subj_20,Subj_21,Subj_22,Subj_23,Subj_24,Subj_25,Subj_26,Subj_27,Subj_28,Subj_29
0.7551,86.4407,90.7563,90.7407,79.1304,83.3333,85.2459,83.7607,83.3333,88.6957,87.3874,76.7241,95.7983,91.8919,77.6786,90.3509,82.3009,100,86.9565,86.8421,93.6937,92.3729,81.0345,73.1092,85.0877,94.6429,99.1379,93.2203,89.8305,86.0656,98.2759
0.7755,87.2881,90.7563,90.7407,79.1304,83.3333,85.2459,83.7607,83.3333,88.6957,87.3874,77.5862,95.7983,91.8919,77.6786,92.1053,83.1858,100,86.9565,86.8421,93.6937,93.2203,81.0345,73.1092,85.0877,94.6429,99.1379,92.3729,89.8305,86.0656,98.2759
0.7959,88.1356,90.7563,91.6667,80,83.3333,86.0656,84.6154,83.3333,88.6957,86.4865,77.5862,95.7983,91.8919,77.6786,92.9825,84.0708,100,86.9565,86.8421,94.5946,93.2203,81.0345,73.1092,85.0877,94.6429,99.1379,92.3729,90.678,86.0656,98.2759
0.8163,88.1356,90.7563,90.7407,80,83.3333,86.0656,86.3248,83.3333,88.6957,86.4865,78.4483,95.7983,91.8919,77.6786,92.9825,84.0708,100,86.9565,86.8421,94.5946,93.2203,81.8966,73.1092,85.9649,94.6429,99.1379,92.3729,90.678,86.0656,98.2759
0.8367,88.1356,90.7563,90.7407,80,83.3333,86.0656,86.3248,83.3333,88.6957,86.4865,79.3103,95.7983,91.8919,77.6786,92.9825,84.0708,100,86.9565,86.8421,94.5946,93.2203,81.8966,73.1092,85.9649,95.5357,99.1379,92.3729,90.678,86.0656,98.2759
0.8571,88.1356,89.0756,90.7407,80,81.5789,84.4262,86.3248,83.3333,88.6957,86.4865,79.3103,95.7983,91.8919,77.6786,92.9825,83.1858,100,86.9565,86.8421,94.5946,94.0678,81.0345,73.1092,85.9649,95.5357,99.1379,92.3729,90.678,86.0656,98.2759
0.8776,88.1356,89.0756,90.7407,80,82.4561,84.4262,86.3248,83.3333,87.8261,86.4865,79.3103,96.6387,91.8919,77.6786,92.9825,83.1858,100,86.9565,88.5965,94.5946,94.0678,81.0345,73.1092,85.9649,95.5357,99.1379,92.3729,90.678,85.2459,99.1379
0.898,88.1356,89.916,90.7407,80,82.4561,84.4262,87.1795,85.0877,87.8261,87.3874,77.5862,96.6387,91.8919,77.6786,92.9825,83.1858,99.1525,86.9565,87.7193,94.5946,94.0678,81.0345,73.1092,85.0877,95.5357,99.1379,92.3729,90.678,85.2459,99.1379
0.9184,88.1356,89.0756,89.8148,80,82.4561,84.4262,87.1795,85.0877,87.8261,87.3874,77.5862,96.6387,91.8919,77.6786,92.9825,83.1858,99.1525,86.9565,88.5965,94.5946,94.0678,81.0345,73.1092,84.2105,95.5357,99.1379,92.3729,90.678,84.4262,99.1379
0.9388,87.2881,89.0756,89.8148,80,82.4561,84.4262,87.1795,85.0877,87.8261,86.4865,77.5862,95.7983,91.8919,77.6786,92.9825,82.3009,99.1525,86.9565,88.5965,94.5946,94.0678,81.0345,73.1092,84.2105,95.5357,99.1379,92.3729,90.678,84.4262,99.1379
0.9592,87.2881,88.2353,89.8148,80,82.4561,84.4262,87.1795,85.0877,87.8261,86.4865,79.3103,95.7983,91.8919,77.6786,94.7368,82.3009,98.3051,86.9565,88.5965,94.5946,94.0678,81.0345,73.1092,85.0877,95.5357,99.1379,92.3729,90.678,83.6066,99.1379
0.9796,86.4407,88.2353,87.963,80,82.4561,84.4262,87.1795,85.0877,87.8261,86.4865,80.1724,94.958,91.8919,78.5714,94.7368,80.531,98.3051,86.9565,87.7193,94.5946,94.9153,81.8966,72.2689,85.9649,95.5357,99.1379,92.3729,90.678,84.4262,99.1379
1,86.4407,87.395,87.963,80,82.4561,83.6066,87.1795,85.0877,87.8261,86.4865,80.1724,94.958,92.7928,79.4643,94.7368,80.531,98.3051,86.9565,86.8421,94.5946,94.9153,81.8966,72.2689,89.4737,95.5357,99.1379,92.3729,90.678,86.8852,99.1379
